measure,interval_start,interval_end,ratio,numerator,denominator
annual_count,2009-01-01,2009-12-31,0.067,67,1000
annual_count,2010-01-01,2010-12-31,0.07839195979899498,78,995
annual_count,2011-01-01,2011-12-31,0.0755873340143003,74,979
annual_count,2012-01-01,2012-12-31,0.06749740394600208,65,963
annual_count,2013-01-01,2013-12-31,0.06533192834562697,62,949
annual_count,2014-01-01,2014-12-31,0.04898828541001065,46,939
annual_count,2015-01-01,2015-12-31,0.07775377969762419,72,926
annual_count,2016-01-01,2016-12-31,0.06870229007633588,63,917
annual_count,2017-01-01,2017-12-31,0.06215316315205328,56,901
annual_count,2018-01-01,2018-12-31,0.07570621468926554,67,885
annual_count,2019-01-01,2019-12-31,0.07621247113163972,66,866
annual_count,2020-01-01,2020-12-31,0.07746478873239436,66,852
annual_count,2021-01-01,2021-12-31,0.07728894173602854,65,841
annual_count,2022-01-01,2022-12-31,0.07237635705669482,60,829
annual_count,2023-01-01,2023-12-31,0.08302808302808302,68,819
annual_count,2024-01-01,2024-12-31,0.0880893300248139,71,806
annual_count,2025-01-01,2025-12-31,0.07682619647355164,61,794
